"subj_idx","trial","desWorld","response","rt"
"2","X1",1,1,3.288
"3","X1",1,1,5.449
"4","X1",0,0,30.577
"6","X1",1,1,5.284
"7","X1",0,1,4.137
"8","X1",1,1,4.84
"9","X1",0,0,11.54
"11","X1",0,1,3.912
"12","X1",1,1,14.546
"14","X1",0,0,3.554
"15","X1",0,0,7.253
"16","X1",0,0,9.296
"17","X1",0,1,4.056
"18","X1",0,1,11.416
"19","X1",0,1,7.232
"20","X1",1,1,11.52
"22","X1",0,0,3.697
"24","X1",0,0,9.324
"25","X1",1,1,2.929
"26","X1",1,1,15.353
"27","X1",0,0,8.873
"28","X1",0,0,5.414
"29","X1",1,1,10.893
"31","X1",0,0,7.353
"32","X1",0,0,16.976
"33","X1",0,0,8.167
"34","X1",0,1,4.48
"36","X1",1,1,3.431
"37","X1",0,0,8.619
"38","X1",1,1,4.024
"39","X1",1,0,6.841
"40","X1",1,1,6.087
"41","X1",0,1,12.464
"42","X1",0,0,3.845
"43","X1",1,1,1.815
"44","X1",1,1,2.044
"45","X1",1,1,21.945
"46","X1",1,1,8.838
"47","X1",1,0,6.38
"48","X1",0,0,11.279
"49","X1",0,0,11.991
"50","X1",0,1,5.579
"51","X1",0,1,30.696
"53","X1",0,0,4.377
"54","X1",1,1,5.665
"55","X1",0,0,12.446
"56","X1",0,1,27.322
"58","X1",0,0,8.462
"59","X1",1,1,4.267
"60","X1",1,1,2.021
"61","X1",1,1,2.913
"62","X1",1,1,9.561
"63","X1",1,1,18.944
"64","X1",1,1,5.721
"65","X1",0,0,8.066
"66","X1",0,1,1.853
"67","X1",1,1,4.465
"68","X1",0,0,1.408
"69","X1",1,1,9.552
"70","X1",0,0,3.913
"71","X1",0,0,3.253
"72","X1",1,1,4.128
"73","X1",1,1,11.879
"74","X1",1,1,3.479
"75","X1",0,0,11.119
"76","X1",1,1,13.344
"78","X1",0,1,2.016
"79","X1",0,0,0.625
"80","X1",0,0,6.054
"81","X1",0,0,30.888
"82","X1",1,1,5.651
"83","X1",1,1,8.568
"84","X1",1,1,4.919
"85","X1",1,1,4.995
"86","X1",1,1,4.98
"88","X1",1,1,3.4
"89","X1",1,1,8.431
"90","X1",1,1,4.658
"92","X1",0,1,9.24
"93","X1",0,0,17.508
"94","X1",1,0,4.862
"95","X1",1,1,2.883
"96","X1",1,0,6.916
"97","X1",0,1,10.151
"98","X1",1,1,11.182
"99","X1",1,1,6.383
"100","X1",0,0,5.45
"2","X2",0,1,7.164
"3","X2",0,0,8.368
"4","X2",0,0,10.812
"6","X2",0,0,4.465
"7","X2",0,0,1.271
"8","X2",0,0,2.567
"9","X2",0,1,12.389
"11","X2",0,0,7.173
"12","X2",0,0,4.081
"13","X2",1,1,16.523
"14","X2",1,1,5.592
"15","X2",0,0,8.915
"16","X2",1,0,10.094
"17","X2",1,1,15.77
"18","X2",0,0,7.528
"19","X2",0,1,10.344
"20","X2",0,0,19.616
"21","X2",1,0,8.482
"22","X2",0,0,3.12
"23","X2",0,0,12.038
"24","X2",0,1,14.408
"25","X2",0,0,1.905
"26","X2",1,0,18.221
"27","X2",1,1,9.023
"28","X2",1,1,5.33
"29","X2",1,1,31.639
"30","X2",0,0,8.615
"31","X2",0,0,15.24
"32","X2",0,0,11.328
"33","X2",1,1,6.05
"34","X2",0,0,3.35
"36","X2",1,0,4.323
"37","X2",1,1,11.219
"38","X2",1,1,7.803
"39","X2",1,1,5.382
"40","X2",0,0,7.585
"41","X2",0,0,13.636
"42","X2",0,1,15.534
"43","X2",1,0,4.615
"44","X2",0,0,3.739
"45","X2",0,1,54.32
"46","X2",1,1,6.535
"47","X2",0,1,3.693
"48","X2",0,0,2.658
"49","X2",1,1,13.736
"50","X2",1,0,4.102
"51","X2",0,0,15.18
"53","X2",0,0,9.992
"54","X2",1,0,3.759
"55","X2",1,1,5.406
"56","X2",0,0,22.251
"57","X2",1,1,3.701
"58","X2",1,1,4.528
"59","X2",1,1,20.4
"60","X2",1,0,3.626
"61","X2",0,1,3.455
"62","X2",0,1,13.496
"63","X2",0,0,12.281
"64","X2",0,0,5.519
"65","X2",0,0,3.432
"66","X2",1,1,2.489
"67","X2",0,1,7.786
"68","X2",0,1,1.663
"69","X2",1,1,6.991
"70","X2",1,1,8.864
"71","X2",1,1,4.306
"72","X2",0,0,6.359
"73","X2",1,1,11.648
"74","X2",1,0,7.909
"75","X2",0,0,9.584
"76","X2",0,0,6.441
"78","X2",1,1,2.539
"79","X2",0,1,0.597
"80","X2",0,1,8.776
"81","X2",1,1,6.951
"82","X2",0,1,4.912
"83","X2",0,0,5.984
"84","X2",0,0,5.912
"85","X2",1,1,4.394
"86","X2",0,0,5.988
"89","X2",0,0,5.574
"90","X2",0,0,3.479
"91","X2",1,1,11.996
"92","X2",1,0,8.6
"93","X2",0,0,22.074
"94","X2",1,1,2.79
"95","X2",1,1,4.639
"96","X2",0,0,8.461
"97","X2",0,1,22.704
"98","X2",1,1,7.927
"99","X2",1,1,7.608
"100","X2",0,0,4.257
"2","X3",1,1,2.896
"3","X3",0,0,3.77
"4","X3",1,1,6.272
"6","X3",0,0,2.168
"7","X3",0,0,1.712
"8","X3",0,0,5.241
"9","X3",0,1,4.558
"11","X3",1,1,3.436
"12","X3",0,0,13.169
"13","X3",0,0,6.985
"14","X3",1,1,6.22
"15","X3",1,0,4.673
"16","X3",1,1,7.336
"17","X3",0,0,6.242
"18","X3",1,0,13.523
"19","X3",0,0,7.664
"20","X3",1,0,5.324
"21","X3",1,1,5.132
"22","X3",1,1,3.736
"23","X3",1,1,6.773
"25","X3",1,1,4.288
"26","X3",0,0,5.003
"27","X3",1,1,13.493
"28","X3",1,1,3.655
"29","X3",0,0,19.359
"31","X3",0,0,14.881
"32","X3",1,1,5.057
"33","X3",1,1,10.949
"34","X3",0,0,8.429
"36","X3",0,1,1.662
"37","X3",0,0,8.304
"38","X3",0,0,12.975
"39","X3",1,0,9.316
"40","X3",1,1,7.545
"41","X3",0,0,7.176
"42","X3",0,0,20.625
"43","X3",1,1,2.864
"44","X3",0,0,1.954
"45","X3",1,1,15.791
"46","X3",0,0,11.354
"47","X3",1,1,6.24
"48","X3",0,0,5.616
"49","X3",1,0,11.392
"50","X3",1,1,7.854
"51","X3",1,1,18.432
"53","X3",1,1,5.777
"54","X3",0,1,2.991
"55","X3",0,0,12.52
"56","X3",1,1,17.796
"57","X3",0,0,14.083
"58","X3",1,1,7.513
"59","X3",1,1,8.937
"60","X3",1,1,4.53
"61","X3",1,0,3.449
"62","X3",1,1,14.553
"63","X3",0,0,5.768
"64","X3",1,1,4.567
"65","X3",1,1,4.551
"66","X3",1,1,2.958
"67","X3",1,1,7.278
"68","X3",0,0,1.279
"69","X3",1,1,7.983
"70","X3",1,1,5.928
"71","X3",1,0,2.128
"72","X3",0,0,5.96
"73","X3",1,1,9.567
"74","X3",1,1,10.024
"75","X3",0,1,11.728
"76","X3",1,1,10.695
"78","X3",1,1,2.44
"79","X3",1,0,0.86
"80","X3",1,0,8.96
"81","X3",1,1,8.736
"82","X3",0,0,4.663
"83","X3",1,1,10.384
"84","X3",1,1,11.735
"85","X3",1,1,7.125
"86","X3",1,0,7.738
"88","X3",1,1,2.946
"89","X3",1,1,4.395
"90","X3",0,0,2.675
"91","X3",0,0,12.376
"92","X3",0,0,10.529
"93","X3",1,0,11.965
"94","X3",1,1,2.813
"95","X3",1,1,6.331
"96","X3",0,0,5.704
"97","X3",1,0,16.16
"98","X3",0,0,10.046
"99","X3",1,1,9.388
"100","X3",0,1,6.239
"2","X4",0,0,3.812
"3","X4",1,1,3.984
"4","X4",0,0,12.493
"6","X4",1,1,3.853
"7","X4",0,0,1.352
"8","X4",0,0,3.584
"9","X4",1,1,3.803
"11","X4",0,0,6.857
"12","X4",0,0,6.863
"13","X4",0,0,11.198
"14","X4",1,1,4.024
"15","X4",0,0,11.083
"16","X4",0,0,8.88
"17","X4",1,1,6.058
"18","X4",0,0,16.926
"19","X4",1,1,4.793
"20","X4",1,1,3.534
"21","X4",1,1,8.98
"22","X4",1,0,9.608
"23","X4",0,0,7.803
"24","X4",1,0,13.708
"25","X4",1,1,6.32
"26","X4",0,0,11.51
"27","X4",1,1,6.72
"28","X4",0,0,6.13
"29","X4",1,1,11.828
"30","X4",0,0,1.861
"31","X4",0,0,31.449
"32","X4",0,1,9.087
"33","X4",0,1,15.373
"34","X4",1,1,1.944
"36","X4",1,0,2.731
"37","X4",1,1,3.641
"38","X4",0,0,10.184
"39","X4",1,1,8.886
"40","X4",0,0,7.242
"42","X4",1,1,31.474
"43","X4",0,1,6.831
"44","X4",0,1,1.49
"45","X4",0,0,16.448
"46","X4",0,0,22.145
"47","X4",1,1,10.547
"48","X4",0,0,9.48
"49","X4",0,0,11.48
"50","X4",0,0,7.152
"51","X4",1,0,18.34
"53","X4",0,1,10.287
"54","X4",0,0,2.864
"55","X4",1,1,7.636
"56","X4",1,1,18.821
"57","X4",0,1,14.068
"58","X4",0,0,8.965
"59","X4",1,1,8.128
"60","X4",0,0,3.734
"61","X4",1,1,2.945
"62","X4",0,0,11.512
"63","X4",0,0,6.029
"64","X4",1,1,4.908
"65","X4",1,1,4.767
"66","X4",1,1,5.046
"67","X4",1,0,3.197
"68","X4",0,0,2.039
"69","X4",1,1,12.744
"70","X4",0,0,6.048
"71","X4",1,0,2.774
"72","X4",0,0,5.529
"73","X4",0,0,7.928
"74","X4",1,1,5.823
"75","X4",1,1,4.607
"76","X4",0,0,12.648
"78","X4",0,0,2.087
"79","X4",0,0,0.922
"80","X4",0,0,7.216
"81","X4",0,0,18.407
"82","X4",0,0,8.626
"83","X4",0,0,5.505
"84","X4",1,1,6.583
"85","X4",1,1,4.574
"86","X4",1,1,8.845
"88","X4",0,0,1.948
"89","X4",0,0,11.101
"90","X4",1,0,2.217
"92","X4",0,1,14.315
"93","X4",1,1,6.631
"94","X4",0,0,7.458
"95","X4",0,1,7.974
"96","X4",1,1,5.838
"97","X4",1,1,12.864
"98","X4",1,1,9.315
"99","X4",1,0,4.913
"100","X4",0,0,4.281
"2","X5",1,1,1.596
"3","X5",0,0,4.404
"4","X5",0,0,9.07
"6","X5",0,0,2.936
"7","X5",0,0,1.993
"8","X5",0,0,4.328
"9","X5",1,1,10.093
"11","X5",0,0,6.374
"12","X5",0,0,9.92
"13","X5",0,1,13.037
"14","X5",1,1,8.488
"15","X5",1,1,7.949
"16","X5",0,0,6.968
"17","X5",0,0,3.941
"18","X5",1,1,4.874
"19","X5",1,1,4.792
"20","X5",0,0,2.376
"21","X5",1,1,6.127
"22","X5",1,1,3.848
"23","X5",0,0,12.347
"24","X5",0,0,7.275
"25","X5",1,0,2.839
"27","X5",1,1,5.983
"28","X5",1,0,9.215
"29","X5",1,1,11.702
"30","X5",1,1,2.838
"31","X5",0,0,21.561
"32","X5",0,0,2.703
"33","X5",1,1,20.967
"34","X5",1,1,3.033
"36","X5",0,1,1.086
"37","X5",1,1,6.675
"38","X5",0,1,11.998
"39","X5",0,0,7.084
"40","X5",1,0,6.939
"41","X5",1,1,15.175
"42","X5",1,1,17.215
"43","X5",0,1,2.471
"44","X5",0,1,1.514
"45","X5",0,0,37.241
"46","X5",0,0,6.568
"47","X5",0,1,4.426
"48","X5",0,0,2.585
"49","X5",0,0,16.512
"50","X5",0,1,5.811
"51","X5",1,1,12.176
"53","X5",1,1,8.208
"54","X5",1,0,2.736
"55","X5",1,1,3.701
"56","X5",1,1,14.998
"57","X5",1,1,1.927
"59","X5",0,0,5.584
"60","X5",0,1,8.112
"61","X5",0,0,4.168
"62","X5",0,0,6.151
"63","X5",0,0,7.214
"64","X5",1,1,5.96
"65","X5",0,0,6.847
"66","X5",0,1,2.749
"67","X5",1,1,4.251
"68","X5",0,1,1.296
"69","X5",0,0,15.049
"70","X5",1,0,8.352
"71","X5",0,0,4.33
"72","X5",0,1,2.878
"73","X5",1,1,10.087
"74","X5",0,0,7.895
"75","X5",0,1,12.033
"76","X5",1,1,5.8
"78","X5",1,1,2.044
"79","X5",1,1,1.6
"80","X5",0,0,11.489
"81","X5",0,1,6.96
"82","X5",0,1,6.262
"83","X5",1,1,19.35
"84","X5",1,1,6.44
"85","X5",0,0,7.83
"86","X5",0,0,4.273
"89","X5",0,0,7.391
"90","X5",0,0,3.674
"91","X5",1,1,18.878
"92","X5",0,0,8.152
"93","X5",0,0,17.04
"94","X5",0,0,3.811
"95","X5",0,0,1.675
"96","X5",0,0,8.604
"97","X5",1,1,15.343
"98","X5",0,1,9.734
"99","X5",1,1,9.372
"100","X5",0,0,3.891
"2","X6",1,1,2.801
"3","X6",0,0,4.487
"4","X6",1,1,4.452
"6","X6",1,1,2.704
"7","X6",1,1,1.343
"8","X6",1,1,3.809
"9","X6",1,1,4.243
"11","X6",1,1,4.885
"12","X6",0,0,7.332
"13","X6",1,1,6.956
"14","X6",0,0,5.878
"15","X6",0,0,10.669
"16","X6",1,0,9
"17","X6",1,0,13.359
"18","X6",0,0,7.137
"19","X6",1,0,7.276
"20","X6",0,1,3.61
"21","X6",1,1,12.532
"22","X6",1,0,3.049
"23","X6",0,1,11.092
"24","X6",0,0,18.718
"25","X6",0,0,2.711
"26","X6",1,1,6.771
"27","X6",1,1,5.471
"28","X6",1,0,6.554
"29","X6",0,1,10.188
"30","X6",1,1,9.771
"31","X6",0,0,9.089
"32","X6",0,1,2.881
"33","X6",0,0,11.886
"34","X6",1,1,3.449
"36","X6",0,0,2.676
"37","X6",0,0,8.548
"38","X6",1,1,7.129
"39","X6",0,1,16.689
"40","X6",0,1,8.751
"41","X6",0,0,18.001
"42","X6",1,1,28.499
"43","X6",1,1,7.336
"44","X6",0,0,1.229
"45","X6",1,1,14.6
"46","X6",1,1,12.742
"47","X6",0,0,4.372
"48","X6",0,1,5.744
"49","X6",0,0,12.56
"50","X6",0,0,8.12
"51","X6",0,0,20.215
"53","X6",1,1,2.871
"54","X6",0,0,3.383
"55","X6",1,1,18.312
"56","X6",0,0,33.673
"58","X6",0,0,18.449
"59","X6",1,1,7.432
"60","X6",1,1,2.185
"61","X6",0,0,5.358
"62","X6",1,1,5.928
"63","X6",1,1,6.858
"64","X6",0,0,6.029
"65","X6",0,1,2.905
"66","X6",0,1,3.82
"67","X6",1,0,2.922
"68","X6",1,0,1.944
"69","X6",1,1,5.247
"70","X6",0,0,9.703
"71","X6",1,1,4.85
"72","X6",1,1,9.712
"74","X6",1,0,5.808
"75","X6",0,0,4.613
