                                mean         std        2.5q        25q        50q        75q       97.5q       mc err
a                            4.59736    0.160115     4.28115    4.49254    4.59921     4.7041     4.91034   0.00135514
a_std                        1.50508    0.124086     1.28587    1.41758     1.4983    1.58297     1.77145   0.00119864
a_subj.2                     2.41971    0.139172     2.16404    2.32254      2.413    2.50777     2.71452   0.00145503
a_subj.3                      3.4407     0.18149     3.10058    3.31524    3.43469    3.55985      3.8106   0.00194838
a_subj.4                     4.56346    0.275794     4.06366    4.37069    4.55164    4.73777      5.1418   0.00388556
a_subj.6                     3.26466    0.181087     2.92857    3.13803    3.25658    3.38488     3.63683    0.0021248
a_subj.7                     2.28045    0.122642     2.05975     2.1954    2.27425    2.35949     2.53625   0.00152924
a_subj.8                     3.23727    0.180303     2.91232    3.11307    3.22707    3.35304     3.61593   0.00233197
a_subj.9                      4.7814     0.26665     4.28893    4.59504    4.77176    4.95092     5.34203   0.00300825
a_subj.11                    3.57801    0.207616     3.19366    3.43589    3.56691    3.71161     4.01444   0.00219868
a_subj.12                    4.54826    0.256194      4.0719    4.37047    4.54007      4.715      5.0772   0.00270894
a_subj.13                    4.51204    0.307162     3.95917    4.29685    4.49876    4.70728     5.16809   0.00349176
a_subj.14                    3.23063    0.179385     2.90119    3.10349    3.22385     3.3499     3.60019   0.00196691
a_subj.15                    6.13947    0.334745     5.51978    5.90799    6.12498    6.35857     6.82643   0.00326518
a_subj.16                    5.48287    0.322472     4.88818    5.26069    5.46937     5.6873     6.16201   0.00325155
a_subj.17                    4.52862    0.254702     4.06557    4.35052     4.5176    4.69143     5.06356   0.00311429
a_subj.18                    4.97465     0.27571     4.46825     4.7838    4.95991    5.15096     5.55931   0.00315726
a_subj.19                    3.97463    0.211884     3.58645    3.82593    3.96647    4.11013      4.4138   0.00218386
a_subj.20                    4.34608    0.245599     3.88936    4.17613    4.33422    4.50694     4.85213   0.00305315
a_subj.21                    4.08456    0.220144     3.68183    3.93027    4.07806    4.22755     4.54036   0.00239932
a_subj.22                    3.30949    0.185218     2.97401    3.17978    3.30164    3.42925      3.7004   0.00188085
a_subj.23                    4.85913    0.258181     4.37173    4.68195    4.85177    5.03239     5.37387   0.00282556
a_subj.24                    5.47019    0.305037     4.90976    5.25786    5.45711    5.67221     6.10244   0.00346227
a_subj.25                    2.13748    0.116927     1.92347    2.05665    2.13194    2.21239     2.38383   0.00128454
a_subj.26                    5.20586    0.296306     4.65711    5.00152    5.19374    5.39993     5.82485   0.00401079
a_subj.27                    4.64458    0.258579     4.17077     4.4636    4.63383    4.81079     5.18307   0.00303123
a_subj.28                    3.91951    0.217454     3.51898    3.76951      3.911     4.0597      4.3729   0.00232699
a_subj.29                    5.51571    0.350511     4.88525     5.2726    5.49527    5.73859     6.26227   0.00473195
a_subj.30                    2.88398    0.162399     2.59145    2.77033    2.87547    2.98832     3.22554    0.0019436
a_subj.31                    5.97472    0.341711     5.33869    5.73696    5.96453    6.19892     6.67591   0.00417589
a_subj.32                     3.9211    0.219307     3.51912    3.76912    3.90872    4.06224     4.38541    0.0026183
a_subj.33                    7.48447    0.449385     6.67126    7.17068     7.4633    7.77836     8.42372   0.00501328
a_subj.34                    4.21733    0.238282     3.78174    4.05312     4.2072    4.37089     4.71598   0.00288152
a_subj.36                     2.1236    0.123574     1.89865    2.03656      2.118    2.20414     2.38187   0.00161091
a_subj.37                    3.51141    0.187279     3.16715    3.37999    3.50331    3.63503     3.89847   0.00217183
a_subj.38                     5.5286    0.354374     4.87728    5.28359     5.5108    5.75917     6.27203    0.0045143
a_subj.39                    5.25887    0.292139     4.72211    5.05699    5.24506    5.44846     5.86468   0.00373289
a_subj.40                    5.00764    0.285693      4.4864    4.81116    4.99303    5.19031     5.61041   0.00270253
a_subj.41                    6.28409    0.362789     5.61541    6.03576    6.27048    6.51894       7.044   0.00430392
a_subj.42                    7.33332    0.416702     6.56492    7.04253     7.3141    7.60425     8.19699   0.00549896
a_subj.43                    2.45799    0.138483     2.20549    2.36212     2.4511    2.54704      2.7456   0.00171087
a_subj.44                    1.54251   0.0815925      1.3893    1.48645     1.5391    1.59651     1.71118  0.000977831
a_subj.45                    8.35988    0.437506     7.54815    8.06058      8.345    8.64801     9.26484    0.0046215
a_subj.46                     4.8198    0.294227     4.28161     4.6173      4.809    5.00993     5.43153   0.00377018
a_subj.47                    3.51501    0.193923      3.1634     3.3786     3.5054    3.63985     3.92386    0.0022744
a_subj.48                    5.14987    0.306818     4.58488    4.93468    5.13525    5.34826       5.785   0.00420201
a_subj.49                    5.48181    0.314125     4.89648    5.26508    5.47032    5.68276     6.12495   0.00346936
a_subj.50                    4.96515    0.272223     4.46208    4.77571     4.9535    5.13887     5.53061   0.00284109
a_subj.51                    8.26827    0.477035     7.39438    7.93392     8.2476    8.57698     9.26311   0.00566378
a_subj.53                    4.07269     0.22961     3.65176    3.91369    4.05891    4.22114      4.5492   0.00263393
a_subj.54                    3.09274    0.165135     2.78887    2.97832    3.08418    3.20076     3.43084   0.00178953
a_subj.55                    4.96186    0.266586     4.47273    4.77551    4.95486    5.13301     5.51528   0.00311882
a_subj.56                    8.80439    0.476972     7.91406    8.47297    8.78848    9.11943     9.78725   0.00457629
a_subj.57                    4.46569     0.25201     4.00289    4.29125    4.45409    4.62944     4.99407   0.00266458
a_subj.58                    5.42968     0.33716      4.8199    5.18985    5.41794    5.64977      6.1232   0.00453531
a_subj.59                    6.31944    0.389407     5.60553    6.04682    6.29987    6.57134     7.14352   0.00528925
a_subj.60                    3.38563    0.188386     3.03776    3.25324    3.37724    3.50778     3.77647   0.00260804
a_subj.61                    2.94576     0.16212     2.64778     2.8343    2.93813    3.05015     3.28711   0.00199635
a_subj.62                    4.44328     0.24968     3.98809    4.26922    4.43226    4.60312     4.96955   0.00277963
a_subj.63                    4.47095     0.26727     3.97987    4.28685     4.4559     4.6416     5.03421   0.00322126
a_subj.64                    4.12357     0.24572     3.67422    3.95445    4.11104     4.2807      4.6409   0.00260543
a_subj.65                    3.33787    0.201499     2.97037    3.19831    3.32989    3.46659     3.76715   0.00211256
a_subj.66                     2.3009    0.122291     2.07595    2.21649    2.29688    2.38068     2.55275   0.00147112
a_subj.67                    3.64181    0.211564     3.25621    3.49522    3.63159    3.77842      4.0824   0.00272431
a_subj.68                    4.77909     0.26845     4.28673    4.59014    4.76641     4.9539     5.34836   0.00285135
a_subj.69                    5.14834     0.29425     4.60385      4.944     5.1355    5.33195     5.77092   0.00317039
a_subj.70                    5.91994    0.364488     5.25721    5.66753    5.89877    6.15597     6.68934   0.00533719
a_subj.71                    3.51572    0.202214     3.14888    3.37525    3.50494    3.64751     3.94016    0.0025323
a_subj.72                    5.68687     0.33041     5.08847    5.45671    5.66907    5.89884     6.37983   0.00353462
a_subj.73                    5.27701    0.283727       4.753    5.08159    5.26608    5.45886     5.87299   0.00306329
a_subj.74                    6.24071    0.382845     5.54357      5.974    6.21541    6.48696     7.05586   0.00470447
a_subj.75                    5.86338     0.33719     5.25103    5.62798    5.84911    6.08423     6.56278   0.00384934
a_subj.76                    4.62848    0.273488     4.13388    4.43508    4.61592    4.80767     5.20669   0.00355772
a_subj.78                    2.86314    0.153985     2.57798    2.75721    2.85675    2.96112     3.18515   0.00166218
a_subj.79                    2.99292    0.173717     2.67516    2.87018    2.98482    3.10442     3.35721   0.00177528
a_subj.80                    5.80879    0.333223     5.19636    5.57862    5.79638    6.02191     6.49789   0.00389083
a_subj.81                    6.80102    0.403554     6.06976    6.51828    6.78202      7.059     7.64186   0.00464375
