                                  mean         std        2.5q        25q        50q        75q      97.5q       mc err
a                              4.60048    0.162086     4.28142     4.4891    4.60296     4.7103    4.91425   0.00146532
a_std                          1.50674    0.124615     1.28668    1.42003    1.49798    1.58428     1.7755   0.00114438
a_subj.2                       2.41326    0.138148     2.16451    2.31669     2.4072    2.50313    2.70398   0.00147093
a_subj.3                       3.43999    0.178448     3.10934    3.31621     3.4338    3.55583    3.80976   0.00205077
a_subj.4                       4.57017    0.276977     4.07239    4.37754    4.55548    4.75051    5.15447   0.00399598
a_subj.6                       3.26215    0.181365     2.92822    3.13627     3.2553     3.3784    3.64214   0.00238471
a_subj.7                       2.28349    0.122523     2.06236    2.19814     2.2776    2.36213     2.5391   0.00143682
a_subj.8                       3.23447    0.179962     2.90674    3.11146    3.22704    3.35059    3.61176   0.00249596
a_subj.9                       4.77484    0.267435     4.28145     4.5903    4.76404    4.94304    5.33846   0.00283914
a_subj.11                      3.59669    0.210569      3.2135    3.45017    3.58785    3.73046    4.03926   0.00266283
a_subj.12                      4.53938    0.257712     4.06953     4.3604    4.53015    4.70512    5.07538   0.00294193
a_subj.13                      4.50979    0.306076     3.94711      4.298    4.49868    4.70995    5.14231   0.00374523
a_subj.14                      3.23105    0.180566       2.901    3.10429    3.22164    3.34697    3.61143   0.00180799
a_subj.15                      6.13869    0.335379     5.51406    5.90386    6.12934    6.36254     6.8327   0.00406091
a_subj.16                      5.47645    0.320585     4.89255    5.25188    5.46217    5.68023    6.14926   0.00405999
a_subj.17                      4.52903    0.252299     4.07063    4.35292    4.51657    4.69254    5.04827   0.00296235
a_subj.18                      4.98067    0.274219     4.47036    4.79197    4.96703    5.15928    5.54718   0.00292918
a_subj.19                      3.97671    0.209777     3.58766    3.82983    3.96794    4.11532    4.41356   0.00224264
a_subj.20                      4.34295    0.243137     3.90121    4.17313    4.33245    4.50438    4.84597   0.00301886
a_subj.21                      4.08564    0.223462       3.681    3.92855    4.07745    4.22859    4.55277   0.00240274
a_subj.22                      3.30571    0.184391     2.97078     3.1773    3.29647     3.4234    3.69989   0.00189289
a_subj.23                      4.85993     0.25445     4.38455    4.68464    4.85085    5.02522    5.37573   0.00254372
a_subj.24                      5.48378    0.313398     4.91013    5.26643    5.46652    5.68666    6.14218   0.00431789
a_subj.25                      2.13992    0.115653     1.92547    2.06031    2.13494    2.21381    2.38004   0.00116099
a_subj.26                      5.20338    0.296254     4.66387     4.9954    5.19231    5.39276    5.82587   0.00368445
a_subj.27                      4.64379     0.25352      4.1794    4.46641    4.63066    4.80821    5.17698   0.00253542
a_subj.28                      3.91527    0.217756     3.51604    3.76404    3.90391     4.0562    4.36452   0.00234898
a_subj.29                      5.53604    0.351291      4.9131    5.28972    5.51632    5.76417    6.27731   0.00449037
a_subj.30                      2.88779     0.16233     2.59365    2.77558    2.88138    2.99136     3.2272   0.00206044
a_subj.31                      5.96968    0.339132     5.34668    5.73256    5.95904    6.19108    6.67397   0.00380772
a_subj.32                      3.91011    0.218436     3.50946     3.7581    3.90177    4.05164    4.36912   0.00285385
a_subj.33                      7.49973    0.460966     6.65238    7.17866     7.4824    7.80161    8.46423   0.00555567
a_subj.34                      4.22053    0.240613     3.78705    4.05287    4.20921    4.37481    4.72589    0.0030057
a_subj.36                      2.12539    0.124397     1.89571    2.04009    2.11956    2.20423    2.38948   0.00150157
a_subj.37                      3.50961    0.188388     3.15925    3.38099    3.50237    3.63021    3.90171   0.00208899
a_subj.38                       5.5386    0.358808     4.89325    5.29162    5.51693    5.75987    6.30701   0.00483711
a_subj.39                      5.26335    0.293854     4.72319    5.06202    5.24897     5.4479    5.88476   0.00338229
a_subj.40                      5.01092     0.29012     4.48123    4.80804    4.99806    5.19782    5.62153    0.0032576
a_subj.41                      6.27225    0.362675      5.5966     6.0211    6.26024    6.50453    7.03019   0.00425912
a_subj.42                      7.33744    0.416717     6.57653    7.04867    7.32178    7.60488    8.20966   0.00519869
a_subj.43                      2.45739    0.139283     2.20344    2.36093     2.4512    2.54678    2.74763   0.00158401
a_subj.44                      1.53949   0.0811486     1.38927    1.48386    1.53617    1.59257     1.7071   0.00100053
a_subj.45                      8.34596    0.437877     7.53904    8.04274      8.325    8.62935    9.26016   0.00454001
a_subj.46                      4.83358    0.293046     4.29882    4.62874    4.81864    5.02271    5.45048   0.00362853
a_subj.47                      3.51722    0.198125     3.15181    3.38005    3.50885    3.64576    3.92444    0.0020813
a_subj.48                      5.15879    0.309369     4.59582     4.9406    5.14638    5.36446    5.79353   0.00419524
a_subj.49                      5.46157    0.310906     4.88958    5.24856    5.44534    5.66472    6.11025   0.00346184
a_subj.50                      4.96082    0.274403     4.45997    4.76994    4.94613    5.14054    5.53606   0.00289413
a_subj.51                       8.2848    0.489025     7.39779    7.95132    8.26134    8.59791    9.30042   0.00639282
a_subj.53                      4.06866    0.224941     3.65671    3.90974    4.06349    4.21354    4.53834    0.0021667
a_subj.54                      3.09315    0.166672     2.78989    2.97606    3.08462    3.20442    3.43739   0.00191598
a_subj.55                      4.96553    0.263269     4.47925    4.78134    4.95511    5.13644    5.50589   0.00313235
a_subj.56                      8.78277    0.473156     7.91827    8.45145    8.76303    9.09746    9.76317   0.00558517
a_subj.57                      4.46974    0.252752     4.01053    4.29423    4.45513     4.6334    4.99971   0.00253892
a_subj.58                      5.44339    0.340067      4.8127    5.20596    5.42883    5.66658    6.14966   0.00442423
a_subj.59                      6.32008      0.3819     5.62441     6.0524    6.30449     6.5642    7.11455   0.00526487
a_subj.60                      3.38748    0.186276     3.05702     3.2588    3.37549    3.50623    3.79004   0.00220734
a_subj.61                      2.94562    0.164396     2.63983    2.83237    2.93913    3.05358    3.28475   0.00173217
a_subj.62                       4.4499    0.250535     3.99335    4.27452    4.43915    4.61124    4.97542   0.00267475
a_subj.63                      4.47556    0.266682     3.98857    4.28978    4.46698    4.64708    5.02922   0.00314473
a_subj.64                      4.14042    0.242743     3.69787    3.96981    4.12868    4.29778    4.65003   0.00314708
a_subj.65                      3.36061     0.20577     2.98665    3.21882    3.35034    3.49148    3.79464   0.00210572
a_subj.66                      2.29992    0.123289     2.07347     2.2139    2.29388    2.38025    2.55518   0.00133922
a_subj.67                      3.65631    0.212644     3.27464    3.50618    3.64492     3.7935    4.10769   0.00243443
a_subj.68                      4.77376    0.264701     4.28544    4.59023    4.76026    4.94555    5.33167   0.00303746
a_subj.69                      5.14933    0.291324     4.61217    4.94619    5.13695    5.33823    5.75245   0.00305218
a_subj.70                      5.92437    0.365571     5.24776    5.67137    5.90872    6.16329    6.68494   0.00459531
a_subj.71                      3.52122    0.203916     3.15143    3.37817     3.5105    3.65255       3.95   0.00263192
a_subj.72                      5.68987    0.326865     5.09816    5.45926    5.67566    5.90427    6.37091   0.00335282
a_subj.73                      5.28019    0.281004     4.77032    5.08307    5.26835    5.46328    5.86118   0.00254907
a_subj.74                      6.25717    0.384736      5.5624    5.98911    6.24159    6.50243    7.05836   0.00452815
a_subj.75                      5.85911    0.326237     5.26484    5.63218    5.84206    6.06996    6.54291   0.00389183
a_subj.76                      4.63513    0.272671     4.13927    4.44458    4.62419    4.81098    5.20442   0.00323424
a_subj.78                      2.86037    0.154623     2.57707     2.7528    2.85278    2.96097    3.18048   0.00161061
a_subj.79                      2.99608    0.172424     2.67972      2.876    2.98907    3.10599    3.35555   0.00211887
a_subj.80                      5.81083    0.328158      5.2101    5.58564    5.79512    6.02637    6.48448   0.00418403
a_subj.81                      6.80327    0.409346      6.0501    6.52014    6.78423    7.06745    7.66176   0.00443529
a_subj.82                      7.16247    0.387458     6.44631    6.89371    7.14555     7.4129     7.9723    0.0047114
a_subj.83                      5.50605    0.310133     4.94025    5.28962    5.49316    5.70817    6.15173   0.00359645
a_subj.84                      5.45743    0.309974       4.885    5.24433    5.44585    5.65608    6.10358   0.00383584
a_subj.85                      3.45374    0.213967     3.06963    3.30489     3.4408    3.58906    3.90923   0.00264104
a_subj.86                      3.58413    0.200486     3.20778    3.44556    3.57813    3.71433    3.99523   0.00227151
a_subj.88                      3.04686    0.199338     2.68501    2.90899    3.03924    3.17362    3.46666   0.00239157
a_subj.89                      4.83306    0.279456     4.32295    4.63985    4.82166    5.01462    5.41326   0.00334865
a_subj.90                      2.88654    0.158039     2.59596     2.7766    2.88068    2.98919     3.2123   0.00163449
a_subj.91                      6.35466    0.428169     5.56946    6.05377    6.33349     6.6321    7.24849   0.00591669
a_subj.92                      5.78134    0.326063     5.18975    5.55116    5.76632    5.99258    6.46999   0.00392064
a_subj.93                      4.98548    0.279764     4.46301    4.79152    4.97604    5.16737    5.56337   0.00333964
a_subj.94                      4.57993    0.259539     4.10295    4.40075    4.56954    4.74633    5.11742   0.00285127
a_subj.95                       4.0888    0.235519     3.65537    3.92589     4.0774    4.24146    4.58968   0.00281954
a_subj.96                      4.97375    0.273843     4.46734    4.78433    4.96179    5.15201    5.53174   0.00276364
a_subj.97                      6.31249    0.402255     5.58131    6.03306    6.29347    6.56791    7.15376   0.00512228
a_subj.98                      4.44629    0.238575     4.00654    4.28027    4.43635    4.59965    4.94119   0.00202686
a_subj.99                      3.69667    0.212461     3.30697    3.55019    3.68474    3.83538    4.14372   0.00237778
a_subj.100                     3.30216    0.177492     2.97031    3.17919    3.29605    3.41577    3.67013   0.00187149
t                             0.913987    0.362483     0.12638   0.674624   0.965437     1.1886    1.49147   0.00748488
t_std                          1.49352    0.224059     1.11765    1.32896    1.47114    1.63912    1.97318   0.00463208
t_subj.2                      0.445075   0.0454304    0.341197   0.418299    0.45056   0.477911   0.517331  0.000507935
t_subj.3                       1.34643   0.0692223     1.18341    1.30681    1.35682    1.39656    1.45211  0.000783969
t_subj.4                      0.977161    0.157455    0.625275   0.882847    0.99498     1.0884    1.24068   0.00214268
t_subj.6                      0.773713   0.0726652    0.607206   0.731497   0.781824   0.826097   0.889291   0.00100829
t_subj.7                      0.981206   0.0428844    0.882868   0.957161   0.986853    1.01199    1.04813  0.000558714
t_subj.8                       1.80763   0.0806937     1.62304    1.75994     1.8168    1.86477    1.93766    0.0011187
t_subj.9                       1.13856    0.138295    0.813071    1.06016    1.15881    1.23897    1.35082   0.00181024
t_subj.11                     0.599823   0.0732265    0.428416   0.559457   0.610126   0.653175   0.708617   0.00105896
t_subj.12                       1.8114    0.139376     1.48801    1.72953    1.82881    1.91093    2.03516   0.00178309
t_subj.13                      2.03231     0.17727     1.63094    1.92527    2.05309    2.16315    2.31495   0.00227344
t_subj.14                      1.08369   0.0685607    0.924138    1.04465    1.09271    1.13277    1.18998  0.000713411
t_subj.15                     0.610435     0.23042    0.120182   0.458203   0.626509   0.779653    1.01593   0.00307395
t_subj.16                      3.34252    0.204547     2.88542    3.22094    3.36555    3.49009    3.67532   0.00256736
t_subj.17                      1.44035    0.154351     1.09015    1.34746    1.45902    1.54962    1.69222    0.0017971
t_subj.18                      1.02276    0.163403     0.64409   0.926266    1.04467    1.14177    1.27732   0.00233113
t_subj.19                       1.0178    0.104343    0.777276   0.956431    1.03009    1.09309    1.18412   0.00117049
t_subj.20                       0.5113     0.14626    0.187141   0.421737   0.524338   0.615609   0.761697   0.00195741
t_subj.21                      1.02764    0.117583    0.755069   0.960871    1.04377    1.11223     1.2109   0.00153523
t_subj.22                       1.4526   0.0841809     1.25897    1.40338     1.4626    1.51244     1.5876    0.0010075
t_subj.23                     0.136546   0.0887697  0.00721795  0.0626372   0.126756   0.198734   0.326402   0.00104533
t_subj.24                      2.64702    0.229274     2.12549    2.51037    2.67718    2.80983    3.01207   0.00308033
t_subj.25                      1.48347   0.0316697      1.4117    1.46501    1.48748    1.50641    1.53299  0.000364679
t_subj.26                      1.28698    0.166491    0.904071    1.18919    1.30843     1.4078    1.54572   0.00222171
t_subj.27                      2.07076    0.161212     1.70667    1.97558    2.08813    2.18703    2.33356   0.00172646
t_subj.28                      2.49088    0.100161      2.2585    2.43328    2.50395    2.56188    2.64864   0.00106137
t_subj.29                      3.83387    0.265394     3.23987    3.66973    3.86438    4.02468    4.27205   0.00342058
t_subj.30                     0.910458   0.0672641    0.756048   0.871208   0.919258   0.958777    1.01551  0.000868606
t_subj.31                     0.842233    0.240123    0.302161   0.696618   0.866078    1.01362    1.24692   0.00258227
t_subj.32                      0.96959    0.129423    0.683145   0.890676   0.982372     1.0636    1.18312    0.0017982
t_subj.33                      3.37626     0.31917     2.64129    3.19319    3.41552    3.60566    3.87811    0.0040427
t_subj.34                      1.12094    0.151336     0.78411    1.02897    1.13668     1.2284    1.37464    0.0019338
t_subj.36                     0.448347   0.0372542    0.362044   0.426971   0.453064   0.474757   0.508165  0.000500285
t_subj.37                     0.279681   0.0890378   0.0785028   0.224184   0.287988     0.3446   0.427179   0.00110103
t_subj.38                      3.02874    0.233455     2.50543    2.88952    3.05778    3.19524    3.40786   0.00313107
t_subj.39                      1.94707    0.195906     1.49859    1.83573    1.97218    2.08557    2.25849   0.00256068
t_subj.40                      3.04997    0.175878     2.63667    2.95069    3.07124    3.17661    3.32816   0.00209787
t_subj.41                      2.33747    0.261422     1.73759    2.18294    2.36826    2.52328    2.76236   0.00306384
t_subj.42                      1.92421    0.374058     1.07315    1.69954    1.95901    2.19168    2.54531   0.00489891
t_subj.43                      0.80719   0.0527163    0.686519   0.776401   0.812488   0.844696   0.893439  0.000644463
t_subj.44                     0.933371   0.0164704     0.89509   0.923872    0.93568   0.945158   0.958914  0.000203704
t_subj.45                      1.71028    0.428049    0.743263    1.44597    1.75722    2.02274    2.40728   0.00483449
t_subj.46                     0.630768     0.18824    0.212883   0.511079   0.645526   0.764737   0.959168   0.00250878
t_subj.47                     0.886571   0.0859624    0.691736     0.8371   0.897378   0.948117      1.023  0.000973635
t_subj.48                     0.754654    0.239374    0.236266   0.602164   0.771445   0.925177    1.16991   0.00331171
t_subj.49                      3.30633     0.19027     2.86452    3.19621    3.33173    3.44251     3.6032   0.00233641
t_subj.50                      1.71822    0.180662     1.30475    1.61402    1.73876    1.84755    2.00836   0.00221082
t_subj.51                      4.33486    0.466537     3.24489    4.06363    4.39394    4.66834    5.07093   0.00637606
t_subj.53                       1.2323    0.108071    0.980362    1.17104    1.24434    1.30968    1.40453   0.00109933
t_subj.54                      1.59748   0.0667909     1.44142    1.55936    1.60671    1.64504    1.70327  0.000831312
t_subj.55                     0.933131    0.197041    0.486418   0.816489   0.955344    1.07458    1.25763   0.00257086
t_subj.56                      1.37957    0.422021    0.447523    1.11908    1.41503    1.68561    2.09038   0.00444423
t_subj.57                      1.29128    0.158069    0.930337    1.19986    1.30891    1.40382    1.54572   0.00181515
t_subj.58                     0.875984     0.23335    0.349865   0.735162   0.898731    1.04171    1.27164    0.0030572
t_subj.59                      2.31438     0.29108      1.6698    2.13387    2.34236    2.52595    2.79818   0.00405985
t_subj.60                      1.02739   0.0939759     0.81679   0.970915     1.0379     1.0947    1.18219   0.00124801
t_subj.61                      1.76149   0.0624517     1.61961    1.72487    1.76946    1.80609    1.86048   0.00074357
t_subj.62                      3.10379    0.129781     2.80675    3.02967    3.12066    3.19674    3.30667   0.00142974
t_subj.63                      2.20886    0.143446     1.88213    2.12683    2.22433    2.31159    2.44296   0.00166039
t_subj.64                      1.25993    0.116824    0.994781    1.19079     1.2729    1.34358    1.44853   0.00156714
t_subj.65                      1.17096   0.0669924      1.0127    1.13318     1.1791    1.21871    1.27583  0.000890477
t_subj.66                      1.25243   0.0358265      1.1694    1.23166    1.25705     1.2785    1.30832  0.000454328
t_subj.67                      1.70815    0.108589     1.46066    1.64511    1.71958    1.78488    1.88673   0.00129753
t_subj.68                     0.643369    0.157361    0.290217   0.547352   0.658502   0.755408   0.906261   0.00177204
t_subj.69                      3.05908    0.181027      2.6316    2.95499    3.08371    3.18799    3.34398   0.00216706
t_subj.70                     0.779779    0.248844    0.244892   0.617976   0.802042   0.959634    1.20885   0.00297044
t_subj.71                     0.975453    0.110067    0.727116   0.910298   0.986912    1.05402    1.15808   0.00141854
t_subj.72                      2.34421    0.175414     1.92971    2.24427    2.36841    2.46951    2.61476   0.00202281
t_subj.73                      1.63864    0.179787     1.21885    1.53886    1.66246    1.76536    1.92075   0.00195206
t_subj.74                      2.64465    0.255017     2.07125    2.49092    2.67796    2.82591    3.05781   0.00315908
t_subj.75                      1.42244    0.237763    0.889063    1.28158    1.45141    1.59391    1.80466   0.00256354
t_subj.76                        1.772    0.156193     1.41898    1.67828    1.79005    1.88423    2.02495   0.00199518
t_subj.78                      1.29772   0.0562778     1.16806    1.26569    1.30505    1.33789    1.38539  0.000578836
t_subj.79                     0.355687   0.0618764    0.216795   0.319986   0.362624   0.399439   0.456311  0.000743062
