"subj_idx","trial","whichWorld","response","rt"
"1","X1",0,0,2.313
"2","X1",1,0,5.089
"3","X1",0,0,5.775
"4","X1",0,0,5.28
"5","X1",1,1,6.864
"6","X1",1,1,5.603
"7","X1",1,1,4.339
"8","X1",0,1,9.385
"10","X1",0,0,9.903
"11","X1",1,1,4.072
"12","X1",1,1,5.34
"13","X1",0,0,6.99
"15","X1",1,1,3.252
"16","X1",1,1,7.449
"17","X1",0,0,8.956
"18","X1",0,1,4.582
"19","X1",1,1,13.826
"20","X1",0,0,8.534
"21","X1",0,0,11.142
"22","X1",1,1,4.984
"23","X1",1,1,13.271
"24","X1",1,1,10.008
"25","X1",1,1,14.658
"26","X1",0,0,2.207
"27","X1",1,0,7.287
"28","X1",0,1,10.8
"30","X1",1,0,2.64
"31","X1",1,1,18.848
"32","X1",1,1,5.84
"33","X1",1,1,3.588
"34","X1",0,0,4.275
"35","X1",1,0,12.608
"36","X1",0,0,16.743
"37","X1",0,0,5.926
"38","X1",1,0,8.028
"39","X1",1,0,4.531
"40","X1",0,1,2.936
"41","X1",0,0,7.886
"42","X1",0,1,2.448
"43","X1",1,1,9.376
"44","X1",1,0,2.526
"45","X1",1,0,6.292
"46","X1",0,0,3.56
"47","X1",1,1,4.604
"48","X1",0,0,10.183
"1","X2",1,1,3.408
"2","X2",1,1,2.945
"3","X2",0,0,6.115
"4","X2",1,1,7.359
"5","X2",1,0,12.259
"6","X2",0,1,2.299
"7","X2",1,1,3.679
"8","X2",0,0,3.963
"9","X2",0,0,6.544
"10","X2",1,1,14.432
"11","X2",0,0,5.132
"12","X2",0,0,3.976
"13","X2",0,1,4.194
"15","X2",1,1,3.952
"16","X2",0,0,5.186
"17","X2",1,1,6.041
"18","X2",1,0,7.61
"19","X2",1,1,7.866
"20","X2",1,1,6.472
"21","X2",1,0,14.524
"22","X2",1,0,3.816
"23","X2",0,0,14.713
"24","X2",1,0,3.968
"25","X2",0,0,9.109
"26","X2",0,0,2.367
"27","X2",0,0,4.169
"28","X2",1,1,7.317
"29","X2",1,0,0.736
"30","X2",0,0,2.723
"31","X2",1,1,24.421
"32","X2",0,1,5.215
"33","X2",1,1,5.798
"35","X2",0,0,5.192
"36","X2",1,1,22.063
"37","X2",0,0,6.817
"38","X2",0,1,7.93
"39","X2",0,0,6.504
"40","X2",0,1,2.856
"41","X2",0,1,14.264
"42","X2",0,0,1.712
"43","X2",1,0,10.342
"44","X2",0,1,3.512
"45","X2",1,0,7.978
"46","X2",1,1,5.105
"47","X2",0,0,2.967
"48","X2",1,0,3.208
"49","X2",0,0,5.908
"1","X3",0,0,2.705
"2","X3",1,0,10.266
"3","X3",1,1,5.486
"4","X3",0,1,6.087
"5","X3",1,1,7.679
"6","X3",0,1,2.353
"7","X3",0,0,7.868
"8","X3",0,0,4.906
"9","X3",0,0,3.504
"10","X3",1,1,5.92
"11","X3",0,1,6.25
"12","X3",1,1,4.583
"13","X3",1,0,3.732
"15","X3",0,0,2.907
"16","X3",0,0,8.849
"17","X3",1,0,9.523
"18","X3",1,1,3.168
"19","X3",0,0,7.414
"20","X3",0,1,12.895
"22","X3",0,0,5.607
"23","X3",0,1,7.352
"24","X3",1,1,8.616
"25","X3",0,0,11.426
"26","X3",0,0,1.527
"27","X3",0,0,5.288
"28","X3",0,1,4.566
"29","X3",0,1,0.789
"30","X3",1,1,2.024
"31","X3",0,0,15.679
"32","X3",0,0,5.583
"33","X3",1,0,4.402
"34","X3",0,1,5.238
"35","X3",1,1,6.937
"36","X3",0,1,18.776
"37","X3",0,1,5.246
"38","X3",1,0,2.837
"39","X3",0,0,5.126
"40","X3",1,1,0.767
"41","X3",0,0,6.513
"42","X3",1,1,4.042
"43","X3",0,0,3.193
"44","X3",1,0,2.438
