                               mean        std        2.5q        25q        50q        75q       97.5q       mc err
a                           4.01023   0.219337     3.57555    3.86485    4.01079    4.15565     4.43725   0.00199324
a_std                       1.41942   0.183595     1.11613    1.29219    1.40051     1.5274     1.84087   0.00210815
a_subj.1                    2.60354   0.185726     2.26965    2.47365    2.59224    2.72147     2.99831   0.00221382
a_subj.2                    3.87284   0.259242     3.40522    3.69097    3.85908     4.0444     4.40673   0.00280235
a_subj.3                    3.65741   0.277743     3.15761    3.46407    3.64212    3.83693     4.24263   0.00261484
a_subj.4                    3.35407   0.247973      2.9102    3.18072    3.33939    3.50844     3.88505   0.00316958
a_subj.5                    4.12575   0.298842     3.59777    3.91715    4.10431    4.31481     4.76539   0.00400499
a_subj.6                      1.527   0.102143     1.34456    1.45631    1.52016    1.59152     1.74587   0.00112674
a_subj.7                    4.77241   0.374411     4.10204    4.51119    4.75411    5.00518     5.57127   0.00461968
a_subj.8                    4.32758   0.322653     3.74554    4.10221    4.31016    4.53062     5.02092   0.00449802
a_subj.9                    4.87961   0.499292     3.99834    4.52866    4.84401    5.20003      5.9384   0.00657638
a_subj.10                   5.33794    0.41071     4.59076    5.05234    5.31426    5.60156     6.19698   0.00465603
a_subj.11                   3.38318   0.251225     2.93395    3.20684    3.36613     3.5394     3.91963   0.00287318
a_subj.12                   4.37268   0.307634     3.82517    4.15578    4.35855    4.57252     5.01283   0.00425981
a_subj.13                   3.44368   0.239322     3.01378    3.27584    3.43052    3.59555     3.94907   0.00282965
a_subj.15                   4.13515   0.305807     3.58721    3.92094    4.11617    4.32733     4.78718   0.00393307
a_subj.16                   4.78126   0.340291     4.16944     4.5467    4.75808    5.00048     5.50083   0.00390176
a_subj.17                   5.36878   0.394347     4.65903    5.08915    5.34632     5.6219     6.18831   0.00443499
a_subj.18                   3.13279   0.220741     2.73244    2.97856    3.12281    3.27418     3.59325   0.00205636
a_subj.19                   3.09929   0.215785     2.71074    2.94892    3.08732    3.23851     3.55094   0.00255541
a_subj.20                   5.61039    0.42974     4.83434    5.30831     5.5896    5.88193     6.53816   0.00573413
a_subj.21                   6.29282   0.438913     5.48693    5.98877    6.27231    6.57096      7.2149   0.00468491
a_subj.22                   3.09673   0.217396     2.70371     2.9457    3.08373    3.23534     3.56178   0.00263655
a_subj.23                   6.10244   0.414252     5.32961    5.81912    6.08253    6.37013     6.96744   0.00455974
a_subj.24                   4.82517   0.350119     4.19348    4.58267    4.80341     5.0498     5.57423   0.00447777
a_subj.25                   7.93599    0.73987     6.65402    7.41672    7.88125    8.39978     9.54189    0.0137508
a_subj.26                   2.51692   0.210554     2.14215    2.36833    2.50506    2.65075     2.95875   0.00269461
a_subj.27                   3.39932   0.248779     2.95478    3.22518    3.38496    3.55729     3.92431   0.00266055
a_subj.28                    5.0863   0.356529      4.4314    4.83678    5.07206    5.31888     5.83028   0.00436419
a_subj.29                   1.92513   0.140767     1.67494    1.82774    1.91821    2.01214     2.22529   0.00165702
a_subj.30                    2.9671   0.219977     2.57757     2.8161    2.95378    3.10067     3.44641   0.00269208
