                                 mean        std        2.5q        25q        50q        75q       97.5q       mc err
a                             4.01582   0.218892     3.58092    3.87271    4.01866    4.15984     4.44344   0.00211577
a_std                         1.42202   0.181155     1.12213    1.29431    1.40161    1.52846     1.83846   0.00221623
a_subj.1                      2.60214   0.184225     2.26377    2.47173    2.59296    2.71892      2.9941   0.00208541
a_subj.2                      3.88062   0.262109     3.40951    3.69753    3.86426    4.04899     4.43082   0.00332631
a_subj.3                      3.67274   0.282089     3.15918    3.47352    3.66148    3.85395     4.27097   0.00309142
a_subj.4                      3.37266   0.252199     2.92345    3.19413    3.35926    3.53458     3.89964   0.00299199
a_subj.5                      4.11841   0.296309     3.59275    3.91083    4.10496    4.31039     4.74377   0.00347294
a_subj.6                      1.52703   0.100616     1.34475    1.45751    1.52305    1.59122     1.74117  0.000924575
a_subj.7                      4.79806   0.383923     4.11905    4.52833    4.77044    5.04319      5.6211   0.00475179
a_subj.8                      4.32772   0.325035     3.75498    4.09886    4.30945    4.53302     5.02412   0.00357109
a_subj.9                      4.88168   0.504735     3.99484    4.52681    4.84689    5.19489     5.97276   0.00643453
a_subj.10                     5.35635   0.415786     4.61337    5.06759    5.32685    5.62117     6.24141   0.00531901
a_subj.11                     3.37884   0.244688     2.93657    3.20906    3.36514     3.5332     3.90291   0.00273638
a_subj.12                     4.34666   0.303253     3.79364    4.13426    4.33243    4.54291     4.97602    0.0037486
a_subj.13                     3.45216   0.240048     3.02137    3.28276     3.4378    3.60767      3.9482   0.00290897
a_subj.15                     4.15457   0.308952      3.6029    3.93791    4.13957    4.34908     4.81431   0.00374293
a_subj.16                      4.7512   0.336647     4.15188    4.51946    4.73168    4.96345     5.47877   0.00341399
a_subj.17                     5.31894   0.385651     4.61771    5.04912    5.29503    5.56842     6.12816   0.00499539
a_subj.18                     3.11565   0.218969     2.71415    2.96283    3.10817     3.2573     3.57334   0.00241654
a_subj.19                     3.09803   0.216203     2.70839     2.9447     3.0866    3.23687     3.55153   0.00237192
a_subj.20                     5.63534   0.426639     4.86219    5.33722    5.61669    5.90679     6.52611   0.00492285
a_subj.21                     6.24245   0.432821     5.45225    5.94526    6.21483    6.52451      7.1491   0.00464948
a_subj.22                     3.06437   0.213555      2.6783    2.91751    3.05028    3.19869     3.52195   0.00243293
a_subj.23                     6.10035   0.407877     5.34804    5.81902    6.08157    6.36642     6.94496   0.00466324
a_subj.24                     4.82925   0.355387      4.1897    4.58141    4.80799    5.05137     5.59168   0.00415553
a_subj.25                     8.03037   0.763642     6.71023    7.49155    7.96636    8.50652     9.68915    0.0138501
a_subj.26                     2.52377   0.206799     2.15888    2.37698    2.51144    2.65542     2.96562   0.00253234
a_subj.27                     3.39333   0.247157     2.94526    3.22034    3.37982    3.55065     3.92725    0.0027949
a_subj.28                     5.09551   0.357901      4.4485    4.84543     5.0755    5.32774     5.84046   0.00448567
a_subj.29                     1.93465   0.143014     1.67779    1.83636    1.92554    2.02455     2.23995   0.00156134
a_subj.30                     2.98212   0.219164     2.59142     2.8284    2.96921    3.12554     3.44163    0.0025036
a_subj.31                     6.08859   0.429834     5.30926     5.7899    6.06364    6.36566     6.98422   0.00491591
a_subj.32                      3.2874   0.232471     2.86763    3.12393    3.27654    3.43668     3.78035   0.00247136
a_subj.33                     3.07679   0.228344     2.66356    2.91552    3.06429     3.2244     3.55658    0.0029868
a_subj.34                      3.0359   0.253358     2.58971    2.85782    3.02068    3.19505     3.58078   0.00308091
a_subj.35                     3.67488   0.277022      3.1784    3.47939    3.66007    3.85186     4.25917   0.00352279
a_subj.36                     5.99952   0.418801     5.23208    5.70854    5.98073      6.271     6.88207   0.00481864
a_subj.37                     4.07045   0.279448     3.56428    3.87323    4.05457    4.24796     4.66086   0.00334167
a_subj.38                     3.64949   0.250453     3.18412    3.47675    3.63855      3.811     4.17966    0.0029469
a_subj.39                     3.11998   0.214133     2.73347    2.97075     3.1057    3.26011     3.56695   0.00218293
a_subj.40                     2.53618   0.217578     2.14911    2.38357    2.52403    2.67573     2.99247   0.00293267
a_subj.41                     4.95565    0.37334     4.28892     4.6933    4.93549    5.19306     5.75301   0.00524766
a_subj.42                      1.7827    0.14155     1.52842     1.6825    1.77512     1.8756     2.07877   0.00204593
a_subj.43                     3.95472   0.278955      3.4404    3.75945    3.94373    4.13656     4.52513   0.00348585
a_subj.44                     2.06684   0.149586     1.79569    1.96251    2.05893    2.16275     2.38021   0.00158973
a_subj.45                     3.57834   0.258137     3.11115    3.39961    3.56576    3.74119     4.12524      0.00283
a_subj.46                     3.55463   0.258125     3.08068    3.37527    3.54238    3.72027     4.10008   0.00282674
a_subj.47                     5.23366   0.402702     4.50731    4.95172    5.21559    5.49091     6.06955   0.00474628
a_subj.48                     4.69518    0.32473     4.10714     4.4688    4.67715    4.90375     5.37457   0.00406906
a_subj.49                     5.09144   0.435262     4.32814    4.78766    5.05629    5.36276     6.03517   0.00629115
t                            0.817918   0.442174   0.0505596    0.45716   0.831231    1.16145     1.62119   0.00686206
t_std                         1.66601   0.294434     1.14101    1.45159    1.65519    1.86603     2.25385   0.00468952
t_subj.1                      1.38032  0.0713068     1.21166    1.34072    1.39102    1.43062     1.48895  0.000869302
t_subj.2                      1.60014   0.149779     1.25225    1.51378    1.62201    1.70709     1.83086   0.00200725
t_subj.3                     0.384186  0.0858861    0.181034   0.336419   0.397725   0.445859    0.513768  0.000950217
t_subj.4                      1.94858    0.12116     1.67446    1.87906     1.9639    2.03601     2.13787   0.00159296
t_subj.5                      3.37418   0.178934     2.96618    3.27317    3.39593    3.50233     3.65548   0.00250844
t_subj.6                     0.551267  0.0221417    0.498224   0.539002   0.554846   0.567279    0.583925  0.000233838
t_subj.7                      2.19466   0.204639     1.71956    2.07843    2.22189    2.34387     2.50906   0.00314378
t_subj.8                      1.31926   0.157917    0.942319    1.23012    1.34269      1.433      1.5571   0.00227332
t_subj.9                     0.940634   0.292509    0.249475   0.766805   0.982807    1.15972     1.38783   0.00368349
t_subj.10                     2.31841   0.270469      1.6809    2.16765    2.35633    2.51241     2.73717   0.00383459
t_subj.11                     0.84282    0.11698    0.569494   0.775396   0.858638   0.926929     1.02365    0.0013921
t_subj.12                     1.67026    0.19766     1.20903    1.55932    1.69466    1.81241     1.98207   0.00276844
t_subj.13                     1.92926   0.116835     1.65835    1.86278    1.94483    2.01282     2.11141   0.00173024
t_subj.15                     1.09876   0.190189    0.659353   0.989991    1.12152    1.23426      1.4025   0.00250775
t_subj.16                     1.50946    0.21302     1.01802    1.38632    1.53966    1.66193     1.83931   0.00271131
t_subj.17                     3.14095   0.283392     2.48162    2.97803    3.17741    3.34213     3.59103   0.00308451
t_subj.18                     1.38637  0.0805051     1.19533    1.34327    1.39972    1.44414     1.50349   0.00107887
t_subj.19                     1.50704   0.097425     1.28394    1.44986    1.52017    1.57738     1.65896   0.00120888
t_subj.20                     3.01285   0.292996     2.32869    2.84676    3.05187    3.22231     3.47157   0.00383119
t_subj.21                     1.80327   0.318744     1.06224    1.62324    1.85396    2.03335     2.27865    0.0041088
t_subj.22                    0.999363  0.0924136    0.778658   0.948899    1.01285    1.06634     1.13911   0.00122061
t_subj.23                   0.0874169  0.0714401  0.00366503  0.0308161  0.0699377   0.126664    0.264681   0.00100987
t_subj.24                     1.57282   0.247055     1.00123    1.43017    1.60539    1.74959     1.97043   0.00371833
